BELLA ESTHER,REGALERIAS,-38.8994834,-70.0658749
BRUSA,BEBES - NIÑOS,-38.946261,-68.230693
IMPS - MELEWE,HOSPEDAJE-CABAÑAS-ALQUILER DE DEPARTAMENTOS,-38.9512196,-68.0702799
MAS MOTOR,AUTOMOTOR- REPUESTOS - ACCESORIOS - AUTOPARTES,-38.9598347,-68.0569863
1920,CAFETERÍA Y PASTELERÍA,-38.9538852,-68.063241
2 JULIO,SUPERMERCADOS,-38.9436912,-69.2429496
47 STREET,TIENDAS,-38.9399439,-67.998536
A BRILLAR MI AMOR,TIENDAS,-40.1581233,-71.3542741
A GRANEL TODO SUELTO,ALMACEN NATURAL,-38.9687825,-68.0527579
A GRANEL TODO SUELTO,ALMACEN NATURAL,-38.9546883,-68.1004607
ABANICO TELAS,SEDERIAS - TELAS - ARTICULOS TEXTILES,-38.94101,-67.9976465
ABC GODOY LIBRERIA,LIBRERIAS ESCOLARES Y DE OFICINA,-38.9433886,-68.1175015
ABERTURAS ANAY,ABERTURAS,-38.95415,-68.0664039
ABRIL,TIENDAS,-38.9496806,-68.0416188
ACCESORIOS LA UNION,AUTOMOTOR- REPUESTOS - ACCESORIOS - AUTOPARTES,-38.9598609,-68.06895
ADHARA,TIENDAS,-38.9516784,-68.0591888
ADICTIVA,INDUMENTARIA FEMENINA,-39.2378375,-70.9188336
ADONAI,INDUMENTARIA URBANA Y CALZADOS,-38.820943,-68.144457
ADONIS,INDUMENTARIA DEPORTIVA,-38.9510055,-68.1177352
ADONIS ESTETIC GROUP,PELUQUERIAS,-38.9370785,-68.000536
AEROBIC DEPORTES,INDUMENTARIA DEPORTIVA,-38.8279401,-68.1343926
AEROBIC OULETT,INDUMENTARIA DEPORTIVA,-38.8239769,-68.1401524
AF TIENDA DE AROMAS,VENTA Y ALQUILER DE AROMATIZADORES,-38.9348955,-69.2288786
AFRICA MIA 2,REGALERIAS,-38.9373953,-69.2297938
AGATA,BEBES - NIÑOS,-40.1566581,-71.3504164
AGROFAR,VETERINARIAS - ACCESORIOS PARA MASCOTAS,-38.6825978,-68.2130066
AGROSCAR,VETERINARIAS - ACCESORIOS PARA MASCOTAS,-38.9505739,-68.1123364
AGUA PURA,PURIFICADORES Y FILTROS DE AGUA,-38.9537378,-68.0765238
AGUA Y GAS,FERRETERIAS,-38.9566583,-68.2276486
AHI VIENE JUANITA,TIENDAS,-38.9542558,-68.227026
AHIJUNA LOMOS Y CAFÉ,RESTAURANTES - BARES - PARRILLAS,-38.938579,-67.998344
AIRQUEN,TRANSPORTES - ENCOMIENDAS,-38.9529503,-68.2247747
ALARMAS KITAWA,ALARMAS VENTA E INSTALACION,-38.9587469,-68.039491
ALBAR MUEBLES,MUEBLERIAS,-38.9527553,-68.0683252
ALENIS,MARROQUINERIAS,-38.9532185,-68.0596205
ALESSIA,LENCERIAS,-39.0231501,-67.5424954
ALFIS JEANS,TIENDAS,-38.958092,-68.058112
ALFONSA,TIENDAS,-38.8245749,-68.1395569
ALGO PARA ENAMORAR,LENCERIAS,-38.8298976,-68.1227869
ALIHER INTERIORES,MUEBLERIAS,-38.8334109,-68.1223253
ALIHUEN,TIENDAS,-40.154437,-71.3492188
ALKIMIA,TIENDAS,-38.9550912,-68.0618367
ALLEN MAT,CORRALONES - MADERERAS,-38.9808773,-67.8134911
ALMACEN B ECOTIENDA,ALMACEN NATURAL,-38.9538031,-68.0674296
ALMACEN DE SUSPIROS,REGALERIAS,-39.951599,-71.07046
ALMACEN DE VINOS,VINOTECAS,-38.9507154,-68.0795758
ALMACEN LAS BRUJAS,ALMACEN DE RAMOS GENERALES,-40.1556527,-71.3112203
ALQUIMIA,INDUMENTARIA URBANA Y CALZADOS,-40.8120453,-65.0905245
ALTA PATAGONIA,ARTICULOS DE CAMPING-CAZA-PESCA,-38.9583775,-68.052361
ALUMINE MUEBLES,ARTICULOS PARA EL HOGAR,-38.9302154,-67.9875826
AM,TIENDAS,-38.9329643,-67.9751897
AMADO MAITEN,REGALERIAS,-39.9507715,-71.0693485
AMANECER,TIENDAS,-37.3764704,-70.2736606
AMASANDO SUEÑO SAS,PANADERIAS Y CONFITERIAS,-38.8277649,-68.1255117
AMATISTA,JOYERIAS - RELOJERIAS,-38.9812924,-67.846651
AMNESIA,INDUMENTARIA FEMENINA,-38.901911,-70.066148
AMUYEN III,FARMACIAS,-38.9377552,-69.2294588
ANDRE PLAST BAZAR,BAZAR,-38.9324282,-67.9875025
ANGELA,SUPERMERCADOS,-38.9446195,-68.1926737
ANGHELUS,BLANCO,-37.3896922,-68.9251836
ANLOGAFF SH,OPTICAS,-40.154567,-71.3489663
ANNAMA PERFUMERIA,PERFUMERIAS,-38.9068627,-70.0642189
ANTONELLA CALZADO,ZAPATERIAS,-38.977754,-67.8283812
ANTONIO PAN E HIJOS,CORRALONES - MADERERAS,-38.959157,-68.04997
ANTONIO PAN E HIJOS,CORRALONES - MADERERAS,-38.9125217,-68.1427062
ANYERI,TIENDAS,-40.1561237,-71.3498085
APRILISS,VAQUERIAS Y ROPA INFORMAL,-39.9518118,-71.075166
ARENS SERVICIOS,NEUMATICOS,-38.9323405,-69.2185856
ARGENTINA HOGAR,MUEBLERIAS,-38.9576334,-68.2379981
ARIDOS DEL NEUQUEN,ARIDOS,-38.9420907,-68.1154742
ARROBA MIL,COMPUTACION,-39.951841,-71.0695955
ARTESANIAS NEUQUINAS SEP,ARTESANIAS Y TEJIDOS,-38.9530707,-68.0618071
ARTISTICA BORBOLETA,LIBRERÍA ARTISTICA,-38.9380355,-67.9903526
ARTISTICA LIBELULA,LIBRERÍA ARTISTICA,-38.9418962,-68.1163016
ASERRADERO HUECHULAFQUEN,CARPINTERIA ARTESANAL - MADERERAS,-40.1572103,-71.3524436
ASERRADERO PAIMUN,CARPINTERIA ARTESANAL - MADERERAS,-38.9581612,-68.028487
ASMIR,TIENDAS,-38.8324824,-68.1493557
ASOCIACION DEPORTIVA CENTENARIO,ASOCIACIONES - CLUBES,-38.8286279,-68.124018
ASTROMELIA,INDUMENTARIA DEPORTIVA,-38.9083693,-70.0604786
ATAVIO,TIENDAS,-40.1568154,-71.3495018
ATELIER DEL PEINADOR,ARTICULOS DE PELUQUERIA,-38.9593069,-68.061454
ATELIER DEL PEINADOR,ARTICULOS DE PELUQUERIA,-38.9391597,-67.9934878
ATHENEA,TIENDAS,-38.9520344,-68.0574035
AUTO FREN,AUTOMOTOR- REPUESTOS - ACCESORIOS - AUTOPARTES,-38.9283813,-67.9903214
AUTOPARTES DIAGONAL,AUTOMOTOR- REPUESTOS - ACCESORIOS - AUTOPARTES,-38.9591284,-68.0680307
AUTOPARTES PLOTTIER,AUTOMOTOR- REPUESTOS - ACCESORIOS - AUTOPARTES,-38.9451413,-68.2295318
AUTOPARTES TOP CAR,AUTOMOTOR- REPUESTOS - ACCESORIOS - AUTOPARTES,-40.1539403,-71.3395967
AUTOSERVICIO AIXIN,SUPERMERCADOS,-38.9259308,-67.9971344
AUTOSERVICIO ANULEN 2,MERCADOS - AUTOSERVICIOS,-39.9478351,-71.0851999
AUTOSERVICIO CENTRO,SUPERMERCADOS,-38.9531087,-68.0589193
AUTOSERVICIO DON CARLOS,SUPERMERCADOS,-40.8108283,-65.0943303
AUTOSERVICIO EL DIEGO,SUPERMERCADOS,-39.9480563,-71.0689081
AUTOSERVICIO EL SOL,MERCADO Y VENTA DE BEBIDAS ALCOHOLICAS,-37.3897004,-68.9251589
AUTOSERVICIO HUEMUL,CARNICERIAS,-39.9516614,-71.0758564
AUTOSERVICIO ISIDORO,MERCADOS - AUTOSERVICIOS,-38.9345884,-67.9717615
AUTOSERVICIO LA FAMILIA,MERCADOS - AUTOSERVICIOS,-40.1510358,-71.3170699
AUTOSERVICIO LOLO,SUPERMERCADOS,-38.9231535,-67.9875393
AUTOSERVICIO MB,MERCADOS - AUTOSERVICIOS,-39.9489115,-71.0693723
AUTOSERVICIO PIL PIL,CARNICERIAS,-40.1547905,-71.3519355
AUTOSERVICIO SANTIAGO,MERCADOS - AUTOSERVICIOS,-38.9446192,-68.2260337
AUTOSERVICIO SANTO TOMAS,SUPERMERCADOS,-38.7243925,-68.1621256
AUTOSERVICIO TOMASITO,MERCADOS - AUTOSERVICIOS,-38.9298655,-67.9987486
AUTOSERVICIO TRAPITO`S,MERCADOS - AUTOSERVICIOS,-38.9353326,-69.231418
AUTOSERVICIO VICTOR,MERCADOS - AUTOSERVICIOS,-38.947801,-68.051135
AVELLANEDA TELAS,SEDERIAS - TELAS - ARTICULOS TEXTILES,-38.9062106,-70.0645608
AVENTURA,TIENDAS,-38.9531405,-68.2254694
AVIKUKY,TIENDAS,-38.9391695,-67.9902481
AXION ENERGY,ESTACIONES DE SERVICIO,-38.9549013,-68.1178869
AXION ENERGY,ESTACIONES DE SERVICIO,-38.9473683,-68.2870818
AXION ENERGY,ESTACIONES DE SERVICIO,-38.9485145,-68.0620004
AXION ENERGY,ESTACIONES DE SERVICIO,-38.9322643,-68.0078342
AY! RICO RICO,RESTAURANTES - BARES - PARRILLAS,-38.8229498,-68.0745258
AZÚCAR,RESTAURANTES - BARES - PARRILLAS,-38.957827,-68.0587149
B Y N CALZADOS S.A.S,ZAPATERIAS,-38.9381851,-67.994918
BABY SHOP,TIENDAS,-38.8256396,-68.1388882
BAHAMONDES REPUESTOS,AUTOMOTOR- REPUESTOS - ACCESORIOS - AUTOPARTES,-38.9516784,-68.0591888
BAHIQUEN AMOBLAMIENTOS,MUEBLERIAS,-38.9516784,-68.0591888
BAIROLETTO,ROTISERIAS,-38.939681,-67.998558
BALLIS AUTOPARTES,AUTOMOTOR- REPUESTOS - ACCESORIOS - AUTOPARTES,-38.9499834,-68.1007231
BAMBINOS,BEBES - NIÑOS,-38.9541951,-68.2260877
BAPU,TIENDAS,-38.938755,-69.2314061
