LineaCSV
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 BELLA ESTHER,-38.89948340,-70.06587490
 BRUSA,-38.94626100,-68.23069300
 IMPS - MELEWE,-38.95121960,-68.07027990
 MAS MOTOR,-38.95983470,-68.05698630
1 MASS,-38.96906200,-68.04658880
1,2,3,-37.37626450,-70.27391390
1920,-38.95388520,-68.06324100
2 JULIO,-38.94369120,-69.24294960
3G ACCESORIOS,-38.95828450,-68.05741160
4 ASES CALZADOS,-38.95812110,-68.06032340
45 MINUTOS,-38.92837100,-67.99032170
47 STREET,-38.93994390,-67.99853600
47 STREET,-40.15804080,-71.35358320
A BRILLAR MI AMOR,-40.15812330,-71.35427410
A GRANEL TODO SUELTO,-38.95167840,-68.05918880
A GRANEL TODO SUELTO,-38.96878250,-68.05275790
A GRANEL TODO SUELTO,-38.95468830,-68.10046070
A MI MANERA,-38.93914100,-67.99762700
ABANICO TELAS,-38.94101000,-67.99764650
ABC GODOY LIBRERIA,-38.94338860,-68.11750150
ABEDUL,-38.97776890,-67.82907090
ABERLU S.R.L,-38.95975100,-68.06738270
ABERTURAS ANAY,-38.95415000,-68.06640390
ABERTURAS MUÑIZ ,-38.95975100,-68.06738270
ABILENE,-38.93770500,-67.99834000
ABRA CADABRA,-38.82295130,-68.13823390
ABRIL,-38.94968060,-68.04161880
ABRIL TU ESPACIO,-38.94963830,-68.04181020
ACANTILADO PARADOR,-40.80981670,-65.08556810
ACCESORIOS EL NACHO ,-38.95984780,-68.05635950
ACCESORIOS LA UNION,-38.95986090,-68.06895000
ACCESORIOS ORTOPEDICOS PLOTTIER ,-38.95416040,-68.23691180
ACERO,-38.97797330,-67.82753430
ACQUA,-39.02875520,-67.57035900
ACUARELA ,-38.94587500,-68.10088900
ADARA,-38.77178040,-68.13572820
ADELINA SUR,-40.15508110,-71.34538650
ADHARA,-38.95167840,-68.05918880
ADICTIVA,-39.23783750,-70.91883360
ADICTOS,-38.90472490,-70.06204440
ADICTOS A LA MODA,-37.39005710,-68.92397620
ADICTOS INDUMENTARIA,-38.90492020,-70.06225150
ADONAI,-38.82094300,-68.14445700
ADONAI KIDS,-38.95197820,-68.11737070
ADONIS,-38.95100550,-68.11773520
ADONIS ESTETIC GROUP,-38.93707850,-68.00053600
ADVENTURE STORE,-40.15789270,-71.35442300
AEROBIC DEPORTES,-38.82823830,-68.13396150
AEROBIC DEPORTES ,-38.82794010,-68.13439260
AEROBIC OULETT,-38.82397690,-68.14015240
AF TIENDA DE AROMAS,-38.93489550,-69.22887860
AFICHE POLIRRUBRO,-38.52415290,-70.36433180
AFRA,-38.93958950,-67.99370690
AFRICA MIA 2,-38.93739530,-69.22979380
AFRICA SAMBA,-38.82383250,-68.06579760
AG ORFEBRES,-38.95076360,-68.06347740
AGATA,-40.15665810,-71.35041640
AGATHA,-39.09559730,-67.08316960
AGROFAR,-38.68115420,-68.21521260
AGROFAR,-38.68259780,-68.21300660
AGROSCAR,-38.95057390,-68.11233640
AGROSCAR,-38.95057390,-68.11233640
AGUA PURA,-38.95381070,-68.07658710
AGUA PURA,-38.95373780,-68.07652380
AGUA PURA S.R.L,-38.95381100,-68.07656500
AGUA Y GAS,-38.95665830,-68.22764860
AGUILA MORA,-37.37793060,-70.27426890
AGUILA MORA,-40.15834440,-71.35163610
AGUSTINO,-38.95307550,-68.05715990
AHI VIENE JUANITA,-38.95425580,-68.22702600
AHIJUNA LOMOS Y CAFÉ,-38.93857900,-67.99834400
AHYRE,-38.95737910,-68.06066170
AIRE,-39.09268910,-67.58965900
AIRE LIBRE DEPORTES,-38.95845230,-68.05203970
AIRQUEN,-38.95295030,-68.22477470
